taxa	phadebas
142A	0.168
1921-07	0.094
1948G	0.121
21D	0.388666667
3124-8	0.176666667
36AB2568	0.445333333
391A	0.137666667
65A	0.147
674A	0.130666667
6-8_69|PI349896	0.441666667
68-10916	0.135666667
683A	0.117333333
69Z108.179	0.202333333
ABED_MENTOR	0.098666667
ABI_JOU	0.102
ADOLPHE_BUNGENER	0.174333333
AFGHANISTAN600	0.292666667
AKME_FUTTER	0.100666667
AKYUREK32	0.149666667
Alexis	0.386333333
ALI	0.322666667
ANTARCTICA04	0.545333333
ANTARCTICA05	0.465
ARAMIR|PI399482	0.265333333
ASTACUS	0.184333333
ATLAS68	0.130666667
AUKSINIAJ3	0.099333333
AZAMAT	0.495333333
B.217-1503	0.616666667
B.273-0-26-00A3	0.255666667
B-112	0.189666667
B-71	0.115333333
BALADI|PI233834	0.448666667
BANKUTI_KORAI	0.476666667
BARBARY	0.113666667
BARQUIS	0.105333333
BELADI|PI283433	0.541
BOHEMIAN	0.121666667
BR._M.6213-545	0.103666667
C.P.I.13551	0.095
C.P.I.20561	0.092666667
C.P.I.28369	0.181666667
CALCAROIDES	0.142
CAVEDA	0.345333333
CERNIGOVSKIJ7	0.546666667
CERTA	0.137666667
Chervonec	0.194666667
CHOSEN	0.237333333
CI13353	0.101333333
CI2224	0.533
CI3199	0.112666667
CI3581	0.452666667
CI3709	0.096666667
CI4088	0.108666667
CI7503	0.264333333
CI9878	0.120333333
CIERNI_JACMEN	0.111666667
CIHO14053	0.113
CIHO14054	0.218333333
COMMUNE_A	0.228666667
CORNISH	0.215666667
Creel	0.46
CRUSADER	0.278
DA_MAI	0.358
DENTIL	0.514333333
Diva	0.118
DJEDDAH	0.132
DOMEN|CIHO10035	0.406
DROSSENFELDER_FRANKONIA	0.179666667
DUAB	0.092333333
DUNOIS	0.225
EGYPT4SELECTION	0.34
ELLIOT	0.352333333
ERECTOIDES_NO.7	0.124
ESPERANCE	0.131333333
Etu	0.566
FERGUS	0.112666667
FL7138A3-102	0.111666667
FLE_NO._B68	0.410333333
FM434	0.193333333
FM438	0.103
FUNDULEA245/64	0.176333333
GAW138-3	0.125666667
GIAGINSKII	0.106
GOZEN	0.158666667
GROAVAC-BUSKAT	0.127333333
HALIKKO	0.144
HANACKY_IX	0.129666667
HANACKY_JUBILENI	0.134
HANKKIJA673	0.371
HARAR	0.135666667
HARPOON	0.300666667
HATVANI1108	0.093333333
HATVANI445|PI327617	0.146
HEINE_FL0367/53	0.128
HERAN	0.112666667
HODONINSKY_KVAS	0.581333333
HOR1171	0.27
HOR1385	0.317
HOR377	0.531333333
HOR4181	0.154666667
HOR450	0.304666667
II-11986-2B-3T-3B	0.156333333
II-20	0.199333333
ILINESKIJ43	0.265666667
IRISH_ARCHER	0.111
IRMKE	0.280333333
ISOGENIC:_GILLETTE-HAIRED_GLUME_(STB_S)	0.136666667
ISOGENIC:_NNLK2LK2VVII	0.155666667
ISOGENIC:_NORMAL_HEIGHT_DEKAP	0.137666667
ISOGENIC:_RR_WHITE_ALEURONE	0.558333333
ISRAELI121	0.687333333
IV/121	0.319333333
IV/138	0.219333333
IV/188	0.494
IV/43	0.282333333
JAO|PI176010	0.181666667
JAREK|PI467834	0.126333333
JAREK|PI599633	0.297666667
JEBALI|CIHO15349	0.168
JERUSALEM_II	0.245
JOGEVA	0.095666667
JOW|PI223446	0.223333333
K2003-46	0.259666667
K710	0.205666667
KAKAPO	0.157666667
KAMA_KURO	0.325666667
